Site_ID,Date,Surface_pH,DOC.mg.L
D24B,15-Aug-19,9.1,33.654
D22C,9-Aug-19,7.6,21.662
D67A,7-Aug-19,7.92,39.162
D4H,9-Aug-19,8.61,16.912
D57A,23-Aug-19,8.32,23.273
D64B,19-Aug-19,9.15,27.471
D8C,12-Aug-19,9.2,49.885
D60A,20-Aug-19,8.93,41.114
D4D,25-Jul-19,8.9,20.926
D26A,15-Aug-19,7.75,35.727
D4A,26-Jul-19,7.74,20.611
D4C,26-Jul-19,9.97,21.618
D58B,22-Aug-19,8.62,70.103
D59D,23-Aug-19,7.88,39.453
D45B,6-Aug-19,8.9,16.07
D57B,23-Aug-19,8.41,27.933
D66C,2-Aug-19,9.07,20.728
D62C,1-Aug-19,9.23,23.691
D74C,26-Aug-19,8.02,29.652
D54B,22-Jul-19,9.64,32.469
D49,22-Jul-19,9.95,29.234
D75,9-Aug-19,7.26,15.759
D74A,26-Aug-19,9.11,17.291
D48A,22-Jul-19,8.33,30.206
D4G,25-Jul-19,7.83,25.369
D7A,20-Aug-19,9.17,23.075
D8G,13-Aug-19,9.07,59.821
D4E,25-Jul-19,9,43.373
D67B,7-Aug-19,8.48,21.843
D57D,23-Aug-19,9.3,29.988
D63A,12-Aug-19,8.25,56.151
D45A,6-Aug-19,8.02,44.782
D63B,12-Aug-19,9.84,47.853
D27A,7-Aug-19,7.53,14.111
D30A,19-Aug-19,8.44,17.708
D53A,23-Jul-19,8.92,21.608
D54A,23-Jul-19,7.88,32.12
D64A,19-Aug-19,9.69,44.884
D59B,23-Aug-19,9.32,16.383
D51,22-Jul-19,8.35,23.866
D57C,23-Aug-19,8.34,30.936
D31B,19-Aug-19,8.95,45.596
D45D,6-Aug-19,8.84,35.054
D61C,30-Jul-19,9.91,28.354
D27B,7-Aug-19,9.11,13.433
D44A,22-Aug-19,8.51,10.527
D31A,19-Aug-19,8.66,60.233
D7B,20-Aug-19,9.65,10.558
D36,12-Aug-19,9.04,37.797
D52,23-Jul-19,9.23,27.463
D60B,20-Aug-19,9.72,22.625
D8F,12-Aug-19,8.37,67.013
D62B,1-Aug-19,9.53,38.073
D59A,23-Aug-19,9.54,21.506
D26B,15-Aug-19,9.24,32.319
D74B,26-Aug-19,9.07,25.713
D14B,29-Jul-19,9.36,33.387
D69C,16-Aug-19,9.3,22.143
D64C,19-Aug-19,9.15,40.608
D15B,6-Aug-19,7.83,32.633
D70B,16-Aug-19,9.06,33.843
D70A,16-Aug-19,8.02,25.955
D44B,22-Aug-19,8.44,28.271
D69A,16-Aug-19,9.16,34.566
D48B,22-Jul-19,9.16,27.056
D20,22-Jul-19,8.59,24.336
D66B,2-Aug-19,9.16,34.065
D10A,26-Aug-19,8.92,17.529
D7I,20-Aug-19,9.64,50.861
D26C,15-Aug-19,9.05,27.034
D60C,20-Aug-19,8.33,83.506
D69B,16-Aug-19,8.94,16.512
D27C,7-Aug-19,8.67,10.642
D14A,29-Jul-19,8.64,57.335
D5,27-Aug-19,9.27,26.594
D10B,26-Aug-19,9.01,30.021
D62E,1-Aug-19,8.43,63.511
D10C,26-Aug-19,8.31,27.728
D58C,22-Aug-19,8.42,19.064
D70C,16-Aug-19,8.15,3.819
D15A,6-Aug-19,8.57,19.313
D10D,26-Aug-19,7.91,24.271
D55B,23-Jul-19,9.35,15.051
D30B,19-Aug-19,9.66,27.162
D58A,22-Aug-19,8.41,118.839
D65,13-Aug-19,8.47,14.44
D66A,2-Aug-19,8.73,28.094
D56C,1-Aug-19,9.17,27.136
D61B,30-Jul-19,8.04,38.852
D56A,1-Aug-19,9.08,24.762
D10E,26-Aug-19,8.14,20.99
D56B,1-Aug-19,9.65,33.917
D61A,30-Jul-19,10,26.125
