Sample ID,ALKALINITY (mg/L),CHLORIDE (mg/L),SO4 (mg/L),Position
D26C-AUG15,120.96,9.85,0.00,3
D26B-AUG15,197.26,10.59,0.00,4
D70C-AUG16,316.83,6.48,3.39,5
D26A-AUG15,214.07,9.91,0.00,6
D58B-AUG22,360.59,18.93,0.00,7
D69B-AUG16,158.63,8.24,180.70,8
D57C-AUG23,141.23,4.96,0.00,9
D65-AUG13,148.74,5.18,0.00,10
D69C-AUG16,144.45,5.47,0.00,12
D58C-AUG22,189.63,11.32,0.00,13
D59A-AUG23,111.19,10.87,0.00,14
D57A-AUG23,93.90,6.69,0.00,15
D59B-AUG23,79.95,8.98,0.00,16
D74A-AUG26,212.04,4.87,0.00,17
D7B-AUG20,93.18,18.36,96.54,18
D60A-AUG20,90.08,130.63,0.00,19
D64A-AUG19,141.23,19.27,0.00,20
D60C-AUG20,992.03,43.65,0.00,21
D30A-AUG19,95.09,8.05,0.00,23
D57B-AUG23,267.72,6.08,0.00,24
D55B-JULY23,129.66,4.17,0.00,25
D57D-AUG23,162.45,12.19,0.00,26
D64C-AUG19,205.49,14.04,15.81,27
D64B-AUG19,98.79,8.33,0.00,28
D7A-AUG20,192.97,19.38,297.05,29
D31B-AUG19,374.65,86.48,954.82,30
D7I-AUG20,410.54,51.50,208.65,31
D70A-AUG16,211.80,15.72,902.67,32
D31A-AUG19,605.06,187.80,1850.99,34
D58A-AUG22,804.15,45.29,1558.48,35
D70B-AUG16,630.57,30.82,433.30,36
D24B-AUG15,180.45,9.76,0.00,37
D60B-AUG20,105.94,16.65,0.00,38
D30B-AUG19,201.19,75.45,143.10,39
D44A-AUG22,154.34,3.07,7.71,40
D44B-AUG22,187.01,8.33,177.95,41
D59D-AUG23,359.39,20.20,0.00,42
D61B-JUNE25,185.82,115.49,2968.76,43
W20-JUNE20,279.88,16.92,386.86,45
W10E-JUNE28,176.64,48.05,1288.83,46
D52-JUNE20,294.90,20.86,321.17,47
W14A-JUNE24,376.32,118.39,1460.77,48
D14A-JUNE24,439.63,97.42,3355.46,49
W75-JUNE24,267.12,9.44,0.00,50
D65-JULY12,138.37,6.96,3.56,51
D75-JUNE24,141.59,4.53,0.99,52
D10E-JUNE28,136.46,13.15,608.69,53
W61B-JUNE25,215.26,1146.79,1907.53,54
W56C-JUNE19,792.94,123.72,3336.44,56
D56A-JUNE19,213.47,102.00,1510.70,57
W5-JUNE27,366.55,8.41,234.00,58
D5-JUNE27,183.07,15.18,1615.69,59
D56C-JUNE19,229.81,8.98,318.70,60
W52-JUNE20,312.07,18.93,294.83,61
W56A-JUNE19,236.96,141.30,1587.35,62
D20-JUNE20,255.44,11.55,421.58,63
W57B-JULY9,178.30,4.80,0.00,64
W8E-JULY11,112.02,3.86,226.24,65
W76-JULY5,290.01,6.68,61.07,67
W31C-JULY2,373.34,49.82,213.07,68
D31B-JULY2,303.36,61.74,747.16,69
D76-JULY5,95.45,14.89,256.71,70
D4H-AUG9,130.74,5.68,0.00,71
D10A-AUG26,124.78,8.80,301.56,72
D10E-AUG26,144.80,17.69,729.65,73
D74C-AUG26,319.81,8.53,1.75,74
D27B-AUG7,92.35,5.39,0.00,75
