Port,Sample,Sample Name #2,Sample Name #3,Time,Wt.[mg],d15NAIR,d13CVPDB,mgN,mgC,%N,%C,C/N
9,5,9_AP13 5A_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 11:41:45,6.00,-1.78,-30.33,20.00,137.49,0.33,2.29,8.02
32,20,32_20_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 15:16:22,6.00,3.08,-25.79,35.48,289.11,0.59,4.82,9.51
23,36,23_36_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 16:55:38,6.00,0.74,-32.20,94.53,493.53,1.58,8.23,6.09
24,36,24_rep_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 17:03:35,6.00,2.02,-32.24,97.43,502.51,1.62,8.38,6.02
18,49,18_49_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 16:15:52,6.00,10.74,-20.03,26.14,245.27,0.44,4.09,10.95
7,52,7_SP12 4B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 11:25:50,6.00,2.94,-31.53,62.25,370.32,1.04,6.17,6.94
5,65,5_65_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 11:41:27,6.00,2.34,-25.68,46.50,326.64,0.78,5.44,8.19
36,68,36_SA11 4B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 15:16:32,6.00,0.02,-18.32,63.26,308.92,1.05,5.15,5.70
37,68,37_rep_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 15:24:29,6.00,-1.39,-18.46,50.99,254.13,0.85,4.24,5.81
16,71,16_71_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 15:59:58,6.00,1.32,-26.75,86.60,441.24,1.44,7.35,5.94
43,76,43_AP11 1B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 16:12:14,6.00,-4.41,-31.93,57.22,297.86,0.95,4.96,6.07
23,10b,23_10b_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 14:04:43,6.00,1.65,-26.74,84.80,555.44,1.41,9.26,7.64
24,10b,24_rep_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 14:12:41,6.00,1.73,-26.65,77.27,516.13,1.29,8.60,7.79
21,10c,21_10c_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 13:48:47,6.00,4.27,-25.45,63.96,396.21,1.07,6.60,7.23
28,14b,28_AA11 2A_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 14:12:53,6.00,2.18,-29.01,31.30,198.81,0.52,3.31,7.41
7,14c,7_14c_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 14:48:22,6.00,7.96,-26.10,51.66,282.05,0.86,4.70,6.37
41,15a,41_15a_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 19:18:50,6.00,2.58,-25.05,65.43,395.39,1.09,6.59,7.05
16,15b,16_15b_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 13:08:58,6.00,0.52,-29.15,93.66,544.86,1.56,9.08,6.79
5,22b,5_SA99 2A_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 11:09:55,6.00,4.24,-35.97,34.11,200.91,0.57,3.35,6.87
19,24b,19_24b_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 16:23:49,6.00,9.09,-22.04,30.59,235.01,0.51,3.92,8.96
42,26b,42_26b_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 19:26:49,6.00,0.89,-27.65,33.60,197.67,0.56,3.29,6.86
22,26c,22_26c_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 13:56:46,6.00,14.46,-30.37,42.06,270.82,0.70,4.51,7.51
32,27a,32_27a_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 18:07:14,6.00,4.85,-41.70,56.21,287.51,0.94,4.79,5.97
18,27b,18_AS12 2B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 12:53:20,6.00,1.32,-20.23,39.86,253.85,0.66,4.23,7.43
30,27c,30_27c_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 17:51:19,6.00,1.66,-39.37,66.54,360.48,1.11,6.01,6.32
12,30a,12_30a_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 15:28:09,6.00,4.12,-37.41,43.33,211.94,0.72,3.53,5.71
13,30a,13_rep_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 15:36:06,6.00,5.02,-37.31,41.28,212.92,0.69,3.55,6.02
6,30b,6_30b_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 14:40:24,6.00,2.70,-26.35,75.65,443.08,1.26,7.38,6.83
42,32a,42_AA11 2B_Finlay 2017 dugouts #01.dxf,N+C IsoLink,2018/09/14 16:04:16,6.00,0.94,-25.04,80.18,409.73,1.34,6.83,5.96
30,32b,30_32b_Finlay dugouts 2017 POM #03.dxf,N+C IsoLink,2018/09/19 15:00:27,6.00,1.59,-32.33,27.82,191.95,0.46,3.20,8.05
29,32c,29_32c_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 17:43:22,6.00,3.97,-25.28,55.42,305.53,0.92,5.09,6.43
46,44a,46_44a_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 19:58:38,6.00,0.50,-27.45,33.07,203.97,0.55,3.40,7.20
47,44a,47_rep_Finlay dugouts 2018 POM #02.dxf,N+C IsoLink,2018/09/18 20:06:35,6.00,1.55,-27.23,33.01,205.58,0.55,3.43,7.26
