Port,Sample,Sample Name #2,Sample Name #3,Time,Wt.[mg],d15NAIR,d13CVPDB,mgN,mgC,%N,%C,C/N,1000 N/C
5,D14A 1 JUL 29,D14A 1 JUL 29_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 13:38:06,6.00,,,19.89,,0.33,,,
6,D14A 1 JUL 29,D14A 1 JUL 29_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 13:49:04,6.00,,,,,,,,
7,D26B AUG 14,D26B AUG 14_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 14:00:00,6.00,,-28.68,,149.09,,2.48,,
8,D26B AUG 14,D26B AUG 14_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 14:10:59,6.00,0.15,-28.74,31.66,53.08,0.53,0.88,1.96,511.35
9,D27C AUG 07,D27C AUG 07_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 14:21:57,6.00,3.67,,10.25,,0.17,,,
10,D27C AUG 07,D27C AUG 07_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 14:32:53,6.00,,-28.79,,146.19,,2.44,,
11,D57B AUG 23,D57B AUG 23_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 14:43:50,6.00,1.48,,28.81,,0.48,,,
12,D57B AUG 23,D57B AUG 23_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 14:54:48,6.00,,,,188.02,,3.13,,
13,rep,rep_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 15:05:46,6.00,1.56,-28.75,36.37,415.27,0.61,4.66,89.80,11.14
16,D56B AUG 01,D56B AUG 01_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 15:38:39,6.00,6.01,-21.52,56.58,318.46,0.94,5.31,6.57,152.29
17,D56B AUG 01,D56B AUG 01_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 15:49:36,6.00,6.02,-21.92,57.18,154.25,0.95,2.57,3.15,317.75
18,D57A AUG 23,D57A AUG 23_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 16:00:32,6.00,-1.46,-25.97,36.31,154.76,0.61,2.58,4.97,201.11
19,D57A AUG 23,D57A AUG 23_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 16:11:31,6.00,-1.57,-26.08,36.63,128.51,0.61,2.14,4.09,244.35
20,D54A JUL 23,D54A JUL 23_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 16:22:29,6.00,3.51,-36.11,17.46,125.22,0.29,2.09,8.37,119.52
21,D54A JUL 23,D54A JUL 23_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 16:33:25,6.00,3.55,-36.37,17.19,387.93,0.29,6.47,26.33,37.98
22,D10B AUG 26,D10B AUG 26_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 16:44:23,6.00,1.00,-26.90,64.78,366.39,1.08,6.11,6.60,151.54
23,D10B AUG 26,D10B AUG 26_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 16:55:21,6.00,1.27,-27.30,61.81,361.25,1.03,6.02,6.82,146.67
24,rep,rep_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 17:06:18,6.00,1.22,-27.26,61.37,845.37,1.02,14.09,16.07,62.22
28,D56C AUG 01,D56C AUG 01_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 17:50:08,6.00,1.02,-35.18,159.49,684.90,2.66,11.42,5.01,199.60
29,D56C AUG 01,D56C AUG 01_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 18:01:05,6.00,1.07,-35.04,130.35,558.55,2.17,9.31,5.00,200.04
30,D45B AUG 06,D45B AUG 06_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 18:12:04,6.00,4.03,-19.88,49.07,571.21,0.82,9.52,13.58,73.63
31,D45B AUG 06,D45B AUG 06_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 18:23:02,6.00,4.36,-20.06,52.47,251.32,0.87,4.19,5.59,178.95
32,D30B AUG 19,D30B AUG 19_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 18:33:58,6.00,3.34,-25.99,49.90,246.86,0.83,4.11,5.77,173.27
33,D30B AUG 19,D30B AUG 19_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 18:44:56,6.00,2.69,-26.08,49.77,106.81,0.83,1.78,2.50,399.39
34,D57C AUG 23,D57C AUG 23_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 18:55:54,6.00,3.15,-28.13,18.08,102.06,0.30,1.70,6.59,151.84
35,D57C AUG 23,D57C AUG 23_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 19:06:51,6.00,3.03,-28.40,17.67,214.17,0.29,3.57,14.14,70.70
36,D27A AUG 07,D27A AUG 07_Finlay POM 2019 #01b.dxf,N2 CO2,2021/01/27 19:17:48,6.00,4.56,-41.08,46.67,,0.78,-0.14,-0.21,-4719.06
37,rep,rep_Finlay POM 2019 #01b(2).dxf,N2 CO2,2021/01/27 19:28:46,6.00,4.53,,48.29,,0.80,,,
39,D27A AUG 07,D27A AUG 07_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 20:01:38,6.00,,,,,,,,
40,D56A AUG 01,D56A AUG 01_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 20:23:34,6.00,,,,,,,,
41,D30A AUG 19,D30A AUG 19_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 20:45:29,6.00,,,,,,,,
42,D54B JUL 22,D54B JUL 22_Finlay POM 2019 #01b(1).dxf,N2 CO2,2021/01/27 21:07:28,6.00,,,32.38,,0.54,,,
5,D26A AUG 15,D26A AUG 15_Finlay POM 2019 #02.dxf,N2 CO2,2021/01/28 14:47:07,6.00,-0.14,-28.11,29.13,174.27,0.49,2.90,6.98,
6,D26A AUG 15,D26A AUG 15_Finlay POM 2019 #02(1).dxf,N2 CO2,2021/01/28 14:58:04,6.00,-0.05,-27.94,33.79,197.05,0.56,3.28,6.80,
7,D31A AUG 19,D31A AUG 19_Finlay POM 2019 #02.dxf,N2 CO2,2021/01/28 15:09:02,6.00,5.99,-28.30,36.11,275.00,0.60,4.58,8.88,
8,D31A AUG 19,D31A AUG 19_Finlay POM 2019 #02(1).dxf,N2 CO2,2021/01/28 15:19:59,6.00,6.02,-28.48,43.90,318.42,0.73,5.31,8.46,
9,D4A JUL 26,D4A JUL 26_Finlay POM 2019 #02.dxf,N2 CO2,2021/01/28 15:30:56,6.00,5.34,-33.62,42.93,232.95,0.72,3.88,6.33,
10,D4A JUL 26,D4A JUL 26_Finlay POM 2019 #02(1).dxf,N2 CO2,2021/01/28 15:41:57,6.00,5.10,-33.68,42.97,233.09,0.72,3.88,6.33,
11,D48A JUL 22,D48A JUL 22_Finlay POM 2019 #02.dxf,N2 CO2,2021/01/28 15:52:56,6.00,7.54,-37.80,24.97,135.65,0.42,2.26,6.34,
12,D48A JUL 22,D48A JUL 22_Finlay POM 2019 #02(1).dxf,N2 CO2,2021/01/28 16:03:53,6.00,7.70,-37.73,25.35,137.74,0.42,2.30,6.34,
13,rep,rep_Finlay POM 2019 #02.dxf,N2 CO2,2021/01/28 16:14:50,6.00,7.76,-38.04,22.93,126.89,0.38,2.11,6.46,
16,D4E JUL 25,D4E JUL 25_Finlay POM 2019 #02.dxf,N2 CO2,2021/01/28 16:47:43,6.00,6.64,-24.36,11.04,96.95,0.18,1.62,10.24,
17,D4E JUL 25,D4E JUL 25_Finlay POM 2019 #02(1).dxf,N2 CO2,2021/01/28 16:58:39,6.00,6.69,-24.18,10.96,96.07,0.18,1.60,10.23,
18,D26C AUG 15,D26C AUG 15_Finlay POM 2019 #02.dxf,N2 CO2,2021/01/28 17:09:38,6.00,8.74,-25.05,34.26,205.77,0.57,3.43,7.01,
19,D26C AUG 15,D26C AUG 15_Finlay POM 2019 #02(1).dxf,N2 CO2,2021/01/28 17:20:36,6.00,8.78,-25.01,31.14,192.99,0.52,3.22,7.23,
20,D31B AUG 19,D31B AUG 19_Finlay POM 2019 #02.dxf,N2 CO2,2021/01/28 17:31:33,6.00,6.54,-28.23,17.11,108.39,0.29,1.81,7.39,
21,D31B AUG 19,D31B AUG 19_Finlay POM 2019 #02(1).dxf,N2 CO2,2021/01/28 17:42:30,6.00,6.60,-28.06,17.74,113.73,0.30,1.90,7.48,
22,D48B JUL 22,D48B JUL 22_Finlay POM 2019 #02.dxf,N2 CO2,2021/01/28 17:53:31,6.00,0.34,-28.08,40.66,248.13,0.68,4.14,7.12,
23,D48B JUL 22,D48B JUL 22_Finlay POM 2019 #02(1).dxf,N2 CO2,2021/01/28 18:04:27,6.00,0.44,-27.99,40.67,247.97,0.68,4.13,7.11,
24,rep,rep_Finlay POM 2019 #02(1).dxf,N2 CO2,2021/01/28 18:15:24,6.00,0.27,-28.01,45.18,276.30,0.75,4.61,7.14,
28,D15B AUG 06,D15B AUG 06_Finlay POM 2019 #02.dxf,N2 CO2,2021/01/28 18:59:19,6.00,3.53,-32.07,28.83,217.21,0.48,3.62,8.79,
29,D15B AUG 06,D15B AUG 06_Finlay POM 2019 #02(1).dxf,N2 CO2,2021/01/28 19:10:17,6.00,3.43,-32.09,27.88,204.87,0.46,3.41,8.57,
30,D22C AUG 09,D22C AUG 09_Finlay POM 2019 #02.dxf,N2 CO2,2021/01/28 19:21:14,6.00,-0.85,-35.95,44.81,233.53,0.75,3.89,6.08,
31,D22C AUG 09,D22C AUG 09_Finlay POM 2019 #02(1).dxf,N2 CO2,2021/01/28 19:32:11,6.00,-0.85,-35.92,43.03,223.59,0.72,3.73,6.06,
32,D53A JUL 23,D53A JUL 23_Finlay POM 2019 #02.dxf,N2 CO2,2021/01/28 19:43:12,6.00,2.62,-32.59,87.97,462.81,1.47,7.71,6.14,
33,D53A JUL 23,D53A JUL 23_Finlay POM 2019 #02(1).dxf,N2 CO2,2021/01/28 19:54:13,6.00,2.59,-32.41,75.64,395.57,1.26,6.59,6.10,
