Analysis_ID,Site_ID,FilteredVol.L,ExtractionVol.mL,A665,A750,A645,A630,ChlA.ug.L,ChlB.ug.L,ChlC.ug.L,ChlTotal.ug.L
D27C225017,27C,0.25,10,0.32044,0.015025,0.12172,0.078649,137.9907012,16.6461024,9.5654172,164.2022208
D07A220017,7A,0.2,10,0.3187,0.00011253,0.073528,0.073527,182.8164269,-19.06425591,35.50620788,199.2583789
D26B230017,26B,0.3,10,0.11467,0.018072,0.050548,0.0404,36.42956733,3.301688667,4.644876667,44.37613267
D08F205017,8F,0.05,10,1.1208,0.0085893,0.41196,0.2455,2507.910612,362.6798516,177.208235,3047.798699
D60B250017,60B,0.5,10,-0.000772,-0.015616,-0.012202,-0.011415,3.4061552,-0.3996232,1.0454528,4.0519848
D08E150017,8E,0.5,10,0.1023,0.066388,0.054979,0.042065,8.901458,-7.404685,-11.393292,-9.896519
D61C120017,61C,0.2,10,0.090402,-0.0078073,0.020438,0.012002,55.93488495,0.4014711,5.35251125,61.6888673
D58A250017,58A,0.5,10,0.0041285,-0.009829,-0.0050778,-0.00087786,3.147268716,0.006369572,3.201276156,6.354914444
D45A130017,45A,0.3,10,0.42762,-0.028501,0.1156,0.065218,172.520693,10.14714867,14.70334033,197.371182
D04H125017,4H,0.25,10,0.084742,-0.025852,0.0010033,-0.001297,50.68869352,-4.04299044,8.5318536,55.17755668
D67B225017,67B,0.25,10,0.58321,-0.049757,0.17836,0.092196,285.5201012,39.3077888,27.5977388,352.4256288
D67A225017,67A,0.25,10,0.29228,-0.02652,0.050575,0.034489,146.1669192,-10.8824036,15.1049072,150.3894228
D58B125017,58B,0.25,10,0.29723,0.005569,0.094471,0.062789,132.5878468,5.3473852,9.6122132,147.5474452
D45B130017,45B,0.3,10,0.32339,0.0063229,0.10985,0.070276,119.7565718,9.5128438,8.3940665,137.6634821
D74C130017,74C,0.3,10,0.40352,-0.021077,0.10403,0.069232,161.0528317,2.840552,18.482883,182.3762667
D58C275017,58C,0.75,10,0.029843,0.0028448,0.0084982,0.0063872,4.145853893,-0.49509344,-0.015909147,3.634851307
D15B230017,15B,0.3,10,0.12696,0.012875,0.039479,0.031813,43.64740167,-3.679150333,2.388247,42.35649833
D58A150017,58A,0.5,10,0.026632,0.017026,0.018894,0.017086,2.2189916,-0.2607228,-0.5753524,1.3829164
D27B125017,27B,0.25,10,0.14767,0.038883,0.068952,0.058393,49.6503556,-0.4103576,2.7274604,51.9674584
D10D225017,10D,0.25,10,0.16111,0.046654,0.081651,0.065669,52.0354808,2.5564372,0.3651632,54.9570812
D27A125017,27A,0.25,10,0.25727,0.035785,0.1013,0.0806,100.804758,2.23636,9.242794,112.283912
D04H225017,4H,0.25,10,0.15853,0.039624,0.06919,0.06179,54.4692472,-3.3139264,4.809428,55.9647488
D54A130017,54A?,0.3,10,0.054658,0.0099077,0.022394,0.018926,17.0113563,-0.1465306,1.716661167,18.58148687
D26B130017,26B,0.3,10,0.12486,0.035286,0.065871,0.052207,33.76657733,3.726862333,1.095611333,38.589051
D60B150017,60B,0.5,10,0.028034,0.017429,0.020869,0.01893,2.4050314,0.2153078,-0.1409966,2.4793426
D15A130017,15A,0.3,10,0.054479,-0.016879,0.0022802,-0.00018883,27.15839728,-0.96506054,4.81550628,31.00884302
D22B140017,22B,0.4,10,0.061865,-0.031377,-0.0087481,-0.013796,26.71656785,-1.929593825,2.5848085,27.37178253
D67B125017,67B,0.25,10,0.50859,-0.036821,0.16194,0.083476,245.896186,35.9348832,21.1304988,302.961568
D07B230017,7B,0.3,10,0.063039,-0.021481,0.0023532,-0.0050845,32.11818707,-0.0441688,2.658462,34.73248027
D58C175017,58C,0.75,10,0.006072,-0.022491,-0.014434,-0.013306,4.3377196,-0.134539733,1.5504372,5.753617067
D27B225017,27B,0.25,10,0.11046,-0.018131,0.013638,0.0049963,58.92115624,-3.66662712,4.43560104,59.69013016
D08F105017,8F,0.05,10,1.0644,-0.025845,0.3667,0.20312,2459.31335,345.22882,162.03413,2966.5763
D59D230017,59D,0.3,10,0.22052,-0.028298,0.043487,0.023333,94.460464,0.707278333,10.16333533,105.3310777
D70C140017,70C,0.4,10,0.018486,-0.0045934,0.0028253,0.0018859,6.5386937,0.336479525,1.59869295,8.473866175
D66C140017,66C,0.4,10,0.046103,-0.044983,-0.018966,-0.019158,25.930923,-0.40384925,7.0846545,32.61172825
D10C130017,10C,0.3,10,0.42429,-0.043414,0.093662,0.053332,177.4485227,2.857706667,18.312288,198.6185173
D45C130017,45C,0.3,10,0.0444,0.0050435,0.009213,0.0055618,15.33040103,-4.246662933,-2.823494633,8.260243467
D60C220017,60C,0.2,10,0.25957,0.0014167,0.066931,0.04879,147.721736,-7.5009834,11.62843125,151.8491838
D60A225017,60A,0.25,10,0.0082297,-0.0090446,-0.0030837,-0.0048909,7.80753492,0.82037744,1.10791212,9.73582448
D66B240017,66B,0.4,10,0.077491,-0.01384,0.011611,0.0074215,26.03442225,-0.43120975,4.38454025,29.98775275
D70C240017,70C,0.4,10,0.04127,0.021597,0.024785,0.021836,5.70491025,-1.01041225,-1.28056075,3.41393725
D08D205017,8D,0.05,10,0.66916,0.0016618,0.23836,0.13575,1506.922277,199.3146616,74.84287,1781.079809
D07A120017,7A,0.2,10,0.32416,0.0069966,0.076734,0.076192,182.2727531,-21.9839752,31.8502045,192.1389824
D10B130017,10B,0.3,10,0.17126,0.0074182,0.05088,0.039874,62.39992313,-2.0663916,6.396357667,66.7298892
