SampleID,Alkalinity (mg/L),Chloride (mg/L),SO4 (mg/L),Position
66A-SEP24,395.33,35.67,641.32,3
32C-MAY17,220.35,43.99,952.08,4
32B-SEP27,285.62,41.47,900.35,5
32C-MAY1,140.86,31.59,578.66,6
4A-MAY14,114.43,17.64,0.00,7
4D-MAY16,89.61,21.24,0.00,8
62C-SEP25,312.05,26.29,195.62,9
56B-SEP26,250.18,87.37,2473.27,10
32C-SEP27,279.01,73.48,1445.79,12
61B-MAY15,149.27,41.39,1316.61,13
23-0H-JULY31,75.79,20.51,0.00,14
61C-SEP25,184.71,22.36,7007.04,15
66B-APR27,214.74,29.21,419.46,16
32B-MAY1,188.11,29.97,440.74,17
4D-SEP26,131.25,22.27,N/V,18
62E-MAY3,202.73,128.25,939.77,19
14A-SEP28,551.90,86.00,1946.36,20
23-AUG9,77.79,19.00,0.00,21
62C-MAY15,185.71,19.79,N/V,23
32A-SEP27,403.94,61.07,1200.67,24
23-12H-JULY31,81.20,20.21,0.00,25
23-MAY17,92.01,19.65,0.00,26
32A-MAY1,193.72,29.66,474.73,27
66C-APR27,71.99,19.74,N/V,28
4C-0H-JULY25,129.25,23.17,N/V,29
4D-AUG8,98.82,19.68,0.00,30
66-AUG9,154.68,20.35,N/V,31
5A-MAY16,178.10,58.82,1160.93,32
66A-MAY14,111.43,23.65,206.06,34
14B-SEP28,236.96,20.23,439.64,35
4C-MAY16,156.28,24.98,N/V,36
14B-MAY18,197.72,19.57,299.60,37
61C-MAY15,148.07,25.67,286.19,38
4C-SEP26,166.89,27.79,0.00,39
62B-SEP25,598.15,25.12,411.80,40
62E-SEP25,518.67,402.20,1579.23,41
4A-AUG8,118.44,22.27,0.00,42
4C-24H-JULY26,134.45,22.36,0.00,43
66B-SEP24,341.48,43.56,946.59,45
23-24H-AUG1,76.39,18.44,0.00,46
66C-SEP24,202.53,19.79,N/V,47
66A-AUG9,350.49,32.32,634.04,48
4C-12H-JULY25,128.25,26.70,0.00,49
62E-MAY15,240.97,162.08,1106.96,50
62B-MAY15,294.83,24.30,212.20,51
61C-MAY3,156.08,21.01,N/V,52
14A-MAY18,301.03,48.77,1408.49,53
56B-MAY16,281.81,47.30,1379.36,54
56A-SEP26,315.85,166.12,1845.89,56
4A-SEP24,149.47,21.39,0.00,57
66A-APR27,52.17,18.81,N/V,58
61B-SEP25,150.87,120.66,2820.31,59
23-SEP27,115.03,20.52,N/V,60
4C-JULY11,109.83,24.27,0.00,61
61C-JULY10,129.45,26.21,321.62,62
4D-JUNE11,119.44,21.36,0.00,63
4A-JULY9,134.65,23.10,0.00,64
61B-JULY10,153.68,88.00,1908.08,65
56A-JULY11,258.39,109.97,1356.10,67
4D-JULY11,101.82,20.28,0.00,68
62C-MAY3,154.88,21.15,N/V,69
68-APR26,110.63,20.52,199.21,70
62C-JULY10,266.60,17.87,N/V,71
32B-MAY23,278.41,28.60,640.64,72
56A-0H-JULY18,267.20,120.54,1530.06,73
14A-0H-JUNE26,488.23,56.42,2394.59,74
32B-JULY12,283.41,34.77,682.56,75
32C-JULY12,267.80,49.93,1284.77,76
23-JUNE11,104.22,23.80,0.00,78
4A-JUNE11,137.26,20.59,0.00,79
4A-APR24,59.57,18.88,0.00,80
56A-APR25,113.43,43.41,658.63,81
14A-24H-JUNE26,498.85,61.93,2567.48,82
62B-MAY3,258.59,21.10,199.34,83
66B-MAY14,316.45,43.41,1067.57,84
56A-12H-JULY18,263.59,126.30,1577.09,85
68-MAY18,134.45,18.29,230.60,86
14B-APR26,130.45,18.65,283.25,87
4C-APR24,127.85,20.71,0.00,89
56A-24H-JULY18,268.40,132.28,1852.17,90
66C-JUNE12,132.25,18.04,N/V,91
62B-JULY10,483.03,21.47,278.89,92
62E-JULY16,405.95,335.64,1183.63,93
4D-APR24,17.13,16.64,0.00,94
14A-12H-JUNE26,483.43,65.14,1951.10,95
23-JULY12,85.60,20.90,N/V,96
14A-JULY13,524.47,69.15,2501.16,97
66C-MAY14,92.21,18.96,N/V,98
32A-JULY12,335.47,42.03,771.51,100
68-JULY13,156.08,20.28,N/V,101
23-APR24,72.69,5.43,7.67,50
P125-AUG13,255.13,22.64,1795.51,51
P35-AUG16,411.82,28.55,1703.42,52
P70-AUG15,456.30,133.90,3674.74,53
P124-AUG14,204.54,25.72,1868.01,54
P37-AUG16,38.03,2.58,33.95,56
P1-AUG13,251.02,18.80,1488.89,57
P109-AUG14,345.30,6.59,449.65,58
P103-AUG13,377.96,5.50,402.31,59
P97-AUG16,406.81,21.92,1829.35,60
P90-AUG17,352.51,26.85,836.25,61
P26-AUG17,360.02,28.27,1763.98,62
P20-AUG17,311.33,19.30,1635.20,63
P66-AUG15,390.38,107.00,3479.52,64
P75-AUG15,364.93,13.10,791.81,65
P120-AUG14,296.91,4.37,388.72,67
P88-AUG15,268.26,3.43,109.57,68
P118-AUG14,406.21,5.48,705.56,69
P50-AUG15,430.86,54.23,3368.72,70
P67-AUG17,430.76,121.29,3727.11,71
61B-MAY3,100.65,38.77,1511.76,72
66C-JULY9,126.79,7.20,75.41,73
P98-AUG16,381.56,20.07,1735.48,74
56B-APR25,176.89,17.64,773.61,75
32A-MAY23,271.36,39.97,1148.22,76
14B-JULY13,202.53,7.15,435.25,78
14A-APR26,110.86,22.54,1288.89,79
66A-JULY9,334.08,31.48,956.94,80
66A-JULY12,268.76,26.72,841.39,81
56B-JULY11,346.10,70.00,2844.45,82
66B-JULY9,280.98,34.97,1120.67,83
