Site_ID,Date,Time,latitude,longitude,Air_temp,Cloud (%),Wind_km.hr,Secchi.m,Depth.m,DO Calibration%,Sample_depth (m),Surface_Temp,Surface_Sal.ppt,Surface_pH,YSI_atm,Surface_DO.sat,Surface_DO.mg.L,Surface_Cond,Shakey Bottle 1 temp out,Shakey Bottle 2 temp out,Deep_Temp,Deep_Sal.ppt,Deep_pH,Deep_DO.sat,Deep_DO.mg.L,Deep_Cond
FH,29-May-20,,50.776242,-104.604241,,5,,0.91,1.9,92.9,0,15.2,0.14,8.41,718.4,79.3,7.86,237.1,16.3,15.7,13.9,0.14,8.05,67.4,6.93,225.9
56A,3-Jun-20,9:55 AM,49.98365,-105.28638,20.5,0,10.4,1.4,3.6,79.2,0,17.3,2.03,8.68,,98.7,9.36,3828,18.8,18.2,7.8,4.93,7.3,5,0.57,5910
56C,3-Jun-20,11:50 AM,49.98365,-105.28638,20.1,10,11.4,0.84,2.6,80.7,0,16.6,0.47,8.05,,79.2,7.51,943,16.6,17.2,16.6,0.47,8.09,73.9,7.05,944
LS,4-Jun-20,,49.365196,-103.530343,,20,,,4.3,91.6,0,17.8,0.52,8.97,707.2,114.7,10.84,905,18.2,18.5,15.9,0.53,7.68,0.32,2.9,876
LH,4-Jun-20,12:15,49.376693,-103.506082,,5,13.2,0.16,3.5,81.9,0,7,0.2,7,,76.3,7.2,358.2,19,19.2,17.6,0.2,7.88,73,6.91,356.7
14A,5-Jun-20,10:46 AM,51.04659,-104.65096,19,40,2.4,1.15,3.8,102.2,0,16.2,2.3,8.48,,58,5.61,3568,17.6,17.4,12,3.73,7.46,3.8,0.39,5074
14B,5-Jun-20,12:21, 50.99505,-104.68559,21.5,10,2.4,0.3,1.6,87.5,0,19.1,0.54,8.61,,91,8.4,965,17.6,17.6,15,0.54,8.41,39.6,3.95,881
56A,20-Jun-20,,49.98365,-105.28638,20.8,100,1.1,1.45,3,111.8,0,19.9,2.27,8.79,693.4,897.3,7.78,3847,20.3,20.5,13.3,4.84,7.66,4.5,0.46,6667
CB2,22-Jun-20,11:45 AM,49.90982,-104.44123,20.5,60,4.1,0.38,2.3,104,0,17.2,0.43,9.4,,201.3,19.51,7.31,18.5,18.4,14.4,0.43,8.77,13.1,1.06,690
CB1,22-Jun-20,,49.85506,-104.4464,,20,1,0.59,,104,0,16.4,1.3,8.11,,,12.14,2096,18,18,15.3,1.3,7.9,,8.84,2040
LHM2,23-Jun-20,12:30 PM,49.39108,-103.45554,27.2,65,1.4,1.3,1.3,104,0,21.6,0.79,9.77,710,177.3,15.25,1455,19.8,20.4,16.6,0.79,9.61,106.7,10.31,1302
LHM1,23-Jun-20,11:15,49.30926,-103.45449,24,5,1.6,0.13,1.3,104,0,20.3,0.32,10.32,710.6,271.2,24.49,614,24,22.1,15.7,0.33,8.35,3.9,0.39,559
MC1,26-Jun-20,11:30 AM,50.62983,-106.14088,29.3,20,4.8,0.77,1.2,102.4,0,22.7,0.21,8.46,706.4,102.3,8.84,425.7,24.4,24.5,21.1,0.22,8.35,84.5,7.38,414.3
