Site_ID,Date,Time,Latitude,Longitude,Air_temp,Cloud_perc,Wind_km.hr,Field_team,Secchi_m,Depth_m,Max_depth_m,DO_calibration_perc,Surface_temp,Surface_DO_sat,Surface_DO_mg.L,Surface_cond,Surface_sal_ppt,Surface_pH,Deep_temp,Deep_DO_sat,Deep_DO_mg.L,Deep_cond,Deep_sal_ppt,Deep_pH,TDS_mg.L,YSI_atm,Core_length_cm,Sediment_depth,Bottle1_temp_in,Bottle1_temp_out,Bottle2_temp_in,Bottle2_temp_out,Tows,Floating_chamber,Chl_total,Chla,Surface_NH3_mg.N.L,Surface_SRP_mg.P.L,Surface_Nitrate_Nitrite_ug.N.L,Surface_TP_mg.P.L,Surface_TN_ug.N.L,Surface_DIC_mg.L,Surface_DIC_uM,Surface_DOC_mg.L,Surface_DOC_uM,Surface_DIN_ug.N.L,Surface_NP_ratio,Surface_TN_TP,Deep_NH3_mg.N.L,Deep_SRP_mg.P.L,Deep_Nitrate_Nitrite_ug.N.L,Deep_TP_mg.P.L,Deep_TN_ug.N.L,Deep_DIC_mg.L,Deep_DIC_uM,Deep_DOC_mg.L,Deep_DOC_uM,SO4_mg.L,Alk_mg.L,Chloride_mg.L,MC_ug.L,pCO2,CO2_uM,CO2_uM_error,pCH4,CH4_uM,CH4_uM_error,pN2O,N2O_nM,N2O_nM_error,d15N_bulk,d13C_bulk,mgN_bulk,mgC_bulk,PercentN_bulk,PercentC_bulk,Sediment_C_N,d15N_org,d13C_org,mgN_org,mgC_org,PercentN_org,PercentC_org,Sediment_C_N_org,d15N_bulk_POM,d13C_bulk_POM,ugN_bulk_POM,ugC_bulk_POM,PercentN_bulk_POM,PercentC_bulk_POM,C_N_POM,d2H,d18O,EtoI,Regime,Water_source,Residence_time,Water_class,d_excess,delI18O,delI2H,Inflow,Land_use,Age_years,B_F_max,B_F_min,Rn_dpm.L,Elevation_m,Area_m2,Perimeter_m,Volume_m3,SI,General_comments
14A,2017-07-12,10:15:00,51.04648,-104.65134,21.5,5,NA,"JW, JB, C",1.52,4.1,4,103.1,20.4,58,4.94,5179,3.07,8.92,14,2.4,0.23,4322,2.98,8.68,2930.81,715.6,26,NA,22.5,22.6,NA,NA,1,Y,13.721481865,13.13894297,0.25,0.84,13.67,0.62,5280,75.886,6318.56786,59.561,4959.28393,263.67,6.285714286,8.516129032,NA,NA,NA,NA,NA,NA,NA,NA,NA,3457.29,393.62,NA,0.02,221.7155519,7.9534444,1.653152908,278.29761,0.39448974,0.054362951,0.259158104,6.816001091,0.2179498,7.402645347,-22.48826767,22.06324224,244.5651312,0.533057314,5.908797565,12.93218754,6.590384511,-28.2049574,24.02133566,206.3086703,0.439146904,3.771639311,10.01998607,4.37,-26.56,24.92,155.47,0.42,2.59,7.28,-65.65,-4.98,0.481888509,restricted,rain,1.462634126,Livestock,-25.81,-9.362675055,-72.60710493,793.3532651,Pasture-livestock,NA,0.008925018,0,NA,547,1660,179,4996.998,1.239350239,"Low water level, sediment depth needs to be recorded. macrophytes growing near edge of water"
14B,2017-07-12,12:50:00,50.995,-104.68568,26.4,40,1.1,"JW, JB, C",1.56,2.1,2,100,23,85.1,6.98,1291,0.67,8.44,19,24.7,2.26,1200,0.68,8.16,698.8,713.9,24.5,NA,25.7,26.1,NA,NA,1,Y,5.6810613750000005,3.003353625,0.11,0.07,12.6,0.11,2550,81.645,6798.084929,32.06,2669.442132,122.6,36.42857143,23.18181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,325.05,398.07,NA,0.02,1548.921184,52.0532874,0.86436468,768.9713513,1.049527036,0.00438815,0.234260825,5.769869318,0.006313781,4.796105077,-16.71068218,12.37040359,200.0863037,0.273197959,4.418867131,18.8703642,6.2133029,-27.33532313,15.61285229,179.5926615,0.297955196,3.427340869,13.42001883,2.18,-29.01,31.3,198.81,0.52,3.31,7.41,-88.4,-8.74,0.297081736,open,rain,0.531283323,Livestock,-18.48,-13.09341163,-101.483006,460.4816924,Pasture-livestock,NA,0.007683899,8.52008e-4,NA,562,1550,188,2771.958,1.347060397,NA
20A,2017-07-24,11:41:00,50.10833,-102.04143,27.3,50,17,"L, C",0.67,1.2,1,99.3,21.2,97.2,8.58,1369,0.74,9.11,20.7,96.6,8.6,2188,1.23,9.11,743.13,701.4,NA,37,21.2,23.7,NA,NA,2,N,22.016339535,17.43292593,0.09,0.01,7.76,0.02,1870,43.118,3590.174854,21.656,1803.16403,97.76,187,93.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.47,NA,0.02,190.3206407,6.610101598,0.462528053,502.9513274,0.697881284,0.009736168,0.348929373,8.9023431,1.443818043,4.708108541,-18.13820568,24.23830269,377.6555248,0.496381378,7.73408816,18.1777626,5.008980363,-28.36549633,32.55524909,276.4608597,0.686819601,5.832507589,9.907393697,3.08,-25.79,35.48,289.11,0.59,4.82,9.51,-89.1,-8.4,0.395844752,open,rain,0.492207183,Isolated,-21.9,-13.56406362,-105.1258524,531.8139873,Pasture-livestock,NA,0.001268853,8.56074e-4,NA,619,1460,165,1670.544,1.21815509,Almost no Zoops dugout was dug on top of an old one
49A,2017-07-24,13:15:00,50.02262,-101.88369,27.2,100,17,"L, C",0.5,0.8,1,102.9,21.8,95.5,7.46,1400,0.75,9.14,21,70.9,6.28,1369,0.74,9.07,760.75,703.5,NA,80,21.7,23.8,NA,NA,1,NA,4.9736383,4.4155892,0.11,0.01,7.62,0.05,3070,61.194,5095.253955,31.211,2598.751041,117.62,307,61.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.7,NA,0.02,288.2808967,9.871321669,2.000999252,1449.386242,1.99356568,0.170723082,0.45153325,11.348431830000001,5.033141672,7.526793573,-16.5443913,26.18500702,392.3874631,0.621971663,9.320367293,17.4827287,6.676808609,-24.86755899,45.76928702,438.3796797,0.917220181,8.785163923,11.17437026,10.74,-20.03,26.14,245.27,0.44,4.09,10.95,-74.1,-5.78,0.59244552,restricted,rain,0.505429275,NA,-27.86,-11.01531552,-85.39854215,364.1768871,Grassland,NA,0.00347304,0.00347304,NA,599,670,110,524.416,1.198809986,YSI behaving oddly bounced between readings and then gave ???
54B,2017-07-24,14:33:00,49.97308,-101.76763,25.1,90,17,"L, C",0.9,0.45,0.5,74.3,20.5,98.7,8.84,1421,0.78,10.19,19.1,43.1,4.16,1376,0.78,10.1,772.69,704.4,NA,11,21.3,24.4,NA,NA,1,N,50.603115235000004,40.36657993,0.16,0.02,11.75,0.05,2240,21.665,1803.913405,28.532,2375.686928,171.75,112,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.46,155.39,NA,0.02,76.4801424,2.72154116,NA,1159.18237,1.637456638,1.637456638,1.637456638,1.637456638,1.637456638,3.52397544,-15.55480168,19.19789501,320.8823508,0.385654781,6.446009457,19.50019741,4.258078026,-26.61989795,30.66189677,271.5800997,0.665117067,5.891108454,10.33345889,3.45,-19.78,39.2,361.51,0.65,6.03,10.76,-74.1,-6.12,0.496657021,restricted,rain,0.249490021,Livestock,-25.14,-10.7766189,-83.55103031,608.8742502,Pasture-livestock,NA,0.005618204,0.005618204,NA,589.8,1340,176,615.839625,1.356298672,Cows everywhere lake covered in macrophytes off side of road
53A,2017-07-25,09:00:00,49.95133,-101.79024,17.1,0,21,"L, C",0.51,2.7,3,95.4,19.2,110.8,10.15,2504,1.47,9.8,15.6,1.8,0.18,2374,1.53,8.8,1390.22,707.4,NA,40,19,18.8,NA,NA,3,N,125.9759311,97.8888477,0.24,0.04,3188.68,0.06,6440,21.48,1788.509575,31.687,2638.384679,3428.68,161,107.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,799.61,129.27,NA,0.02,36.12475504,1.336775485,0.026379216,428.1725926,0.62091386,0.007222553,4.031418913,109.7906943,1.669345267,4.718207468,-22.02955875,36.81872567,432.7181539,0.762450314,8.960823233,13.71144267,5.273131975,-28.92564702,39.64440096,321.1582907,0.937219881,7.592394579,9.451137196,NA,NA,NA,NA,NA,NA,NA,-83.1,-9.86,0.076075477,open,rain,0.18761222,NA,-4.22,-11.03339388,-85.53846867,128.4304291,Grassland,NA,0.011818747,0,NA,595,1840,193,4163.319,1.269239167,Fish
54A,2017-07-25,10:04:00,49.94727,-101.76752,19.2,5,21,"L, C",0.34,1.6,1.5,92.2,19.3,82,7.55,1860,1.08,8.85,18.7,60.9,5.59,1840,1.07,8.79,1022.57,707.5,NA,66,18.9,19.9,NA,NA,3,N,122.9475749,101.1310573,0.1,0.0042,12.26,0.04,2340,70.368,5859.117402,31.823,2649.708576,112.26,557.1428571,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.76,333.04,NA,0.02,527.3856861,19.49634279,0.402800986,1748.00464,2.536242582,0.02476287,0.187859218,5.112911664,0.038244317,3.474170997,-23.50075235,35.50096318,445.7114481,0.792255371,9.946696009,14.64739666,3.447113978,-30.53404016,48.85887335,420.9157944,1.057551371,9.11073148,10.05075216,3.65,-31.92,79.1,592.73,1.32,9.88,8.74,-78.95,-8.71,0.144339714,open,rain,0.213204077,NA,-9.27,-10.66896121,-82.71775976,35.72270575,Grassland,NA,0.00192765,3.79144e-4,NA,593,270,70,365.568,1.201741962,NA
52A,2017-07-25,11:27:00,49.85824,-101.71194,19.4,90,21,"L, C",0.49,1.1,1,98.2,20.2,89.8,8.07,2463,1.41,8.74,20.2,89.5,8.04,2452,1.4,8.74,1366.78,708.3,NA,67,19.9,20.6,NA,NA,3,N,27.096090665,25.24528767,0.1,0.03,114.86,0.07,2630,64.443,5365.778518,33.52,2791.007494,214.86,87.66666667,37.57142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,726.23,288.92,NA,0.02,582.5699329,20.96659535,0.105885866,617.0109834,0.878226899,0.003885687,0.275956683,7.29941165,1.643558791,5.170334802,-21.81851818,16.73469329,194.4430852,0.351347749,4.082365846,13.55568711,5.367358424,-26.55592061,16.35612654,150.7546036,0.383946632,3.53884046,10.75317988,2.94,-31.53,62.25,370.32,1.04,6.17,6.94,-72.7,-7.335,0.222485406,open,rain,0.234794408,NA,-14.02,-9.88044647,-76.61465568,161.6439527,Pasture-livestock,NA,0,0,NA,590,790,126,766.733,1.264596768,YSI behaving oddly bounced between readings and then gave ???
48A,2017-07-24,14:00:00,49.98583,-101.9271,25.3,90,21,"JW, JB",0.63,1.5,1.5,101.7,22,96.5,7.73,2170,1.19,8.62,19,19,0.09,2032,1.18,8.12,1199.39,699.5,NA,59,23.1,24.3,NA,NA,3,N,44.80581472,38.66333318,0.1,0.05,13.98,0.09,2400,69.843,5815.40383,31.317,2607.577019,113.98,48,26.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,941.76,317.97,NA,0.02,612.871573,20.70676342,NA,1051.251509,1.428291169,1.428291169,1.428291169,1.428291169,1.428291169,6.562976556,-17.76723091,21.91006896,306.1957205,0.52291334,7.307773758,16.30430014,5.119088837,-26.81619494,27.95180373,279.7174394,0.610301391,6.107367672,11.67498941,4.37,-32.8,73.23,477.33,1.22,7.96,7.6,-77.5,-7.35,0.318646896,open,rain,0.447139538,Isolated,-18.7,-10.99382763,-85.23222588,135.225338,Pasture-livestock,NA,0.007294259,0.002344885,NA,619,460,92,595.5,1.210051849,Cattails covering most edges on the side. Shakey bottle surf 1 of 2 started inhecting with closed valve then proceeded as normal
51A,2017-07-24,16:19:00,49.99234,-101.90707,29,35,21,"JW, JB",0.57,0.8,1,98.2,23.4,145.5,10.93,2069,1.06,9.16,21.8,127.7,10.89,2093,1.07,9.07,1141.75,700.3,NA,144,25.1,26.1,NA,NA,3,N,58.021098890000005,50.42600378,0.09,0.00207,16.83,NA,NA,32.651,2718.651124,28.185,2346.794338,106.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1163.92,153.11,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.291538877,-18.92770209,25.84150195,448.6714342,0.580186393,10.07344935,20.2561758,3.962194047,-27.74972375,59.231007580000004,607.2340574,1.028316104,10.54225794,11.9606227,NA,NA,NA,NA,NA,NA,NA,-87.25,-9.1,0.231553095,open,rain,0.201503383,NA,-14.45,-12.39247955,-96.05779172,247.3347019,Pasture-livestock,NA,0.007329399,0.007329399,NA,608,1160,146,929.536,1.209257889,"Shallow, frogs macrophytes throughout dugout"
