Sample_ID,Site_ID,Date,Sample,Temp_in,Temp_out,CO2ppm,CH4ppm,N2Oppm,RerunCO2,RerunCH4,RerunN2O,Reruns,Flagged
32A1 ,32A,1/May/18,Atm,,,416.7115776,2.121522248,0.3261841393,,,,,
32A2 ,32A,1/May/18,1A,7.7,9.6,1829.843,153.137,0.384,1829.843,153.137,0.384,REPLACED,
32A3 ,32A,1/May/18,1B,7.7,9.6,1862.556767,143.8949361,0.4256279523,,,,,
32A4 ,32A,1/May/18,2A,7.7,10,1870.34899,143.0947249,0.4251530497,,,,,
32A5 ,32A,1/May/18,2B,7.7,10,1860.557,145.359,0.397,1860.557,145.359,0.397,REPLACED,
66A1 ,66A,27/Apr/18,Atm,,,459.4582357,8.417594738,0.3315641683,,,,,
66A2 ,66A,27/Apr/18,1A,11.4,12.1,458.002125,8.628388073,0.3143619194,,,,,REMOVE
66A3 ,66A,27/Apr/18,1B,11.4,12.1,2462.718752,4.470119038,0.4452405631,,,,,
66A4 ,66A,27/Apr/18,2A,11.4,11.7,2392.74,4.161,0.413,2392.74,4.161,0.413,REPLACED,
66A5 ,66A,27/Apr/18,2B,11.4,11.7,2490.46545,4.551895915,0.4358686649,,,,,
32B1 ,32B,1/May/18,Atm,,,482.4512954,10.75998668,0.3348493585,,,,,
32B2 ,32B,1/May/18,1A,7.5,7.8,198.2069045,510.7575703,0.7344142176,,,,,
32B3 ,32B,1/May/18,1B,7.5,7.8,231.347,509.286,0.654,231.347,509.286,0.654,REPLACED,
32B4 ,32B,1/May/18,2A,7.5,8,228.945,532.55,0.651,228.945,532.55,0.651,REPLACED,
32B5 ,32B,1/May/18,2B,7.5,8,242.535,537.412,0.69,242.535,537.412,0.69,REPLACED,
32C1 ,32C,1/May/18,Atm,,,486.1011437,2.487854045,0.3333396158,,,,,
32C2 ,32C,1/May/18,1A,7.3,8.5,221.0180798,62.52080493,0.4251056591,,,,,
32C3 ,32C,1/May/18,1B,7.3,8.5,175.949053,63.09604127,0.4214720559,,,,,
32C4 ,32C,1/May/18,2A,7.3,9,192.54,61.569,0.381,192.54,61.569,0.381,REPLACED,
32C5 ,32C,1/May/18,2B,7.3,9,181.133191,57.240206,0.4246785472,,,,,
66B1 ,66B,27/Apr/18,Atm,,,449.5292405,5.273002227,0.3180408152,,,,,
66B2 ,66B,27/Apr/18,1A,6.7,7.4,1198.75779,17.71083247,0.3089764451,,,,,
66B3 ,66B,27/Apr/18,1B,6.7,7.4,1220.991451,17.53869247,0.3133212211,,,,,
66B4 ,66B,27/Apr/18,2A,6.7,7,1211.963348,19.54099321,0.3216577002,,,,,
66B5 ,66B,27/Apr/18,2B,6.7,7,1167.306,18.457,0.293,1167.306,18.457,0.293,REPLACED,
66C1 ,66C,27/Apr/18,Atm,,,493.7041259,4.704085436,0.3306540258,,,,,
66C2 ,66C,27/Apr/18,1A,7.1,7.1,1265.624792,26.20597726,0.3681515162,,,,,
66C3 ,66C,27/Apr/18,1B,7.1,7.1,1310.063617,25.31739448,0.3575395636,,,,,
66C4 ,66C,27/Apr/18,2A,7.1,7.1,1061.752421,30.15014724,0.3679926367,,,,,
66C5 ,66C,27/Apr/18,2B,7.1,7.1,1079.359724,26.3283364,0.3778027139,,,,,
56B4 ,56B,25/Apr/18,Atm,,,419.1290608,2.263942647,0.3286260066,,,,,
56B2 ,56B,25/Apr/18,1A,8.5,8.7,851.6231128,13.6962002,0.437306371,,,,,
56B3 ,56B,25/Apr/18,1B,8.5,8.7,807.2204518,13.87956315,0.4232140144,,,,,
56B1 ,56B,25/Apr/18,2A,8.5,9,725.0872537,10.71676735,0.3995532499,,,,,
56B5 ,56B,25/Apr/18,2B,8.5,9,699.016,9.598,0.36,699.016,9.598,0.36,REPLACED,
56A1 ,56A,25/Apr/18,Atm,,,435.1763794,1.883792251,0.3288177485,,,,,
