Sample_ID,Site_ID,Date,Sample,Temp_in,Temp_Out,CO2 ppm,CH4 ppm,N2O ppm,recalc CH4 ppm
5-10 ,5,27/Aug/19,2B,20.8,20.5,96.70010751,71.60789284,0.2806500706,72.28311683
5-6 ,5,27/Aug/19,Atm,,,426.8762671,1.182067997,0.3017257317,1.983409527
5-7 ,5,27/Aug/19,1A,20.8,20.3,86.54480013,68.62654436,0.2602669108,69.3071073
5-8 ,5,27/Aug/19,1B,20.8,20.3,106.2310712,68.64336869,0.2644874509,69.32390151
5-9 ,5,27/Aug/19,2A,20.8,20.5,110.9969408,194.0198268,0.2729374259,194.4758373
20-10 ,20,22/Jul/19,2B,24.4,23.4,550.708367,178.1251656,0.291596159,178.60964
20-6 ,20,22/Jul/19,Atm,,,433.9254664,1.175531388,0.2993232981,1.976884624
20-7 ,20,22/Jul/19,1A,24.4,22.6,515.9615383,177.93746,0.2896788255,178.4222706
20-8 ,20,22/Jul/19,1B,24.4,22.6,511.6288224,177.3554851,0.2864689188,177.8413378
20-9 ,20,22/Jul/19,2A,24.4,23.4,484.6110733,164.6853717,0.2885469096,165.1939139
36-1 ,36,12/Aug/19,Atm,,,394.9168882,1.241987779,0.3035916679,2.043222006
36-2 ,36,12/Aug/19,1A,19.2,18.1,253.2617123,250.6270054,0.2186544338,250.9816446
36-3 ,36,12/Aug/19,1B,19.2,18.1,234.5657655,276.8847747,0.2129475256,277.1923918
36-4 ,36,12/Aug/19,2A,19.2,17.9,244.9590134,201.646549,0.2253665488,202.0889016
36-5 ,36,12/Aug/19,2B,19.2,17.9,233.4746317,221.1939718,0.2165156311,221.6013192
49-1 ,49,22/Jul/19,Atm,,,423.8427808,1.241785419,0.3012957227,2.043020008
49-2 ,49,22/Jul/19,1A,26.6,22.3,129.9072155,1350.24639,0.1843924712,1348.631847
49-3 ,49,22/Jul/19,1B,26.6,22.3,106.9068291,1338.225351,0.1840069252,1336.632335
49-4 ,49,22/Jul/19,2A,26.6,22.3,106.010808,542.6540809,0.1642157318,542.4857622
49-5 ,49,22/Jul/19,2B,26.6,22.3,134.7424606,446.2098316,0.1903977488,446.2142239
51-1 ,51,22/Jul/19,Atm,,,419.2454147,1.178914321,0.3021781959,1.980261498
51-2 ,51,22/Jul/19,1A,23.2,22.6,1473.098884,381.2154808,0.261779384,381.336264
51-3 ,51,22/Jul/19,1B,23.2,22.6,1536.296024,404.085605,0.2601502235,404.1654327
