Site ID,Date,Tows
4A,24-Apr-18,na
23A,24-Apr-18,na
4C,24-Apr-18,na
4D,24-Apr-18,na
56A,25-Apr-18,na
56B,25-Apr-18,na
68A,26-Apr-18,na
14A,26-Apr-18,na
14B,26-Apr-18,na
66A,27-Apr-18,na
66B,27-Apr-18,na
66C,27-Apr-18,na
32A,1-May-18,na
32B,1-May-18,na
32C,1-May-18,na
61B,3-May-18,na
61C,3-May-18,na
62B,3-May-18,na
62C,3-May-18,na
62E,3-May-18,na
66A,14-May-18,2
4A,14-May-18,3
66B,14-May-18,5
66C,14-May-18,5
62E,15-May-18,1
62B,15-May-18,2
62C,15-May-18,2
61B,15-May-18,3
61C,15-May-18,3
56A,16-May-18,1
4D,16-May-18,3
56B,16-May-18,3
4C,16-May-18,5
32C,17-May-18,3
23A,17-May-18,na
14A,18-May-18,3
14B,18-May-18,3
68A,18-May-18,na
32B,23-May-18,1
32A,23-May-18,2
23A,11-Jun-18,3
4A,11-Jun-18,3
4D,11-Jun-18,3
66A,12-Jun-18,3
66C,12-Jun-18,3
14A 0hr,26-Jun-18,1
14A 12hr,26-Jun-18,1
14A 4hr,26-Jun-18,na
14A 8hr,26-Jun-18,na
14A 24hr,27-Jun-18,1
14A 16hr,27-Jun-18,na
14A 20hr,27-Jun-18,na
66A,9-Jul-18,3
66B,9-Jul-18,3
66C,9-Jul-18,3
4A,9-Jul-18,na
61B,10-Jul-18,1
61C,10-Jul-18,1
62B,10-Jul-18,2
62C,10-Jul-18,2
4C,11-Jul-18,2
4D,11-Jul-18,2
56B,11-Jul-18,2
56A,11-Jul-18,3
32A,12-Jul-18,3
32B,12-Jul-18,3
23A,12-Jul-18,5
32C,12-Jul-18,5
68A,13-Jul-18,1
14B,13-Jul-18,2
14A,13-Jul-18,3
62E,16-Jul-18,2
56A 0hr,18-Jul-18,1
56A 12hr,18-Jul-18,3
56A 4hr,18-Jul-18,na
56A 8hr,18-Jul-18,na
56A 24hr,19-Jul-18,2
56A 16hr,19-Jul-18,na
56A 20hr,19-Jul-18,na
4C 0hr,25-Jul-18,2
4C 12hr,25-Jul-18,2
4C 4hr,25-Jul-18,na
4C 8hr,25-Jul-18,na
4C 24hr,26-Jul-18,4
4C 16hr,26-Jul-18,na
4C 20hr,26-Jul-18,na
23 12hr,31-Jul-18,2
23 0hr,31-Jul-18,3
23 4hr,31-Jul-18,na
23 8hr,31-Jul-18,na
23 24hr,1-Aug-18,2
23 16hr,1-Aug-18,na
23 20hr,1-Aug-18,na
4D,8-Aug-18,1
4A,8-Aug-18,2
23A,9-Aug-18,1
66A,9-Aug-18,2
66C,9-Aug-18,3
66A,24-Sep-18,1
66B,24-Sep-18,2
66C,24-Sep-18,2
4A,24-Sep-18,3
61B,25-Sep-18,1
62E,25-Sep-18,1
61C,25-Sep-18,2
62B,25-Sep-18,2
62C,25-Sep-18,2
56A,26-Sep-18,2
56B,26-Sep-18,2
4C,26-Sep-18,3
4D,26-Sep-18,3
32A,27-Sep-18,1
32C,27-Sep-18,2
23A,27-Sep-18,3
32B,27-Sep-18,3
14A,29-Sep-18,2
14B,29-Sep-18,2
