Site_ID,Date,Volume.m3,Perimeter.m
23A,24/Apr/18,NA,168
4A,24/Apr/18,342.245471,126
4C,24/Apr/18,4409.412,246
4D,24/Apr/18,671.301457,126
56A,25/Apr/18,707.922,142
56B,25/Apr/18,11752.992,586
14A,26/Apr/18,5863.990176,182
14B,26/Apr/18,767.75,190
68A,26/Apr/18,282.363648,116
66A,27/Apr/18,908.352,110
66B,27/Apr/18,2035.699,168
66C,27/Apr/18,4885.125,192
32A,1/May/18,960.128,100
32B,1/May/18,1318.752,116
32C,1/May/18,2409.375,144
61B,3/May/18,1164.897,172
61C,3/May/18,454.359375,110
62B,3/May/18,1121.202,158
62C,3/May/18,655.921875,130
62E,3/May/18,2401.536,250
4A,14/May/18,1413.764,126
66A,14/May/18,942,110
66B,14/May/18,1934.528,168
66C,14/May/18,4585.344,192
61B,15/May/18,1045.376,172
61C,15/May/18,534.762,110
62B,15/May/18,2063.556,158
62C,15/May/18,1209.75,130
62E,15/May/18,6054.444,250
4C,16/May/18,3821.904,246
4D,16/May/18,1267.832,126
56A,16/May/18,1762.5,142
56B,16/May/18,35387.772,586
23A,17/May/18,1152.096,168
32C,17/May/18,2103.003,144
14A,18/May/18,3622.788,182
14B,18/May/18,3616.5,190
68A,18/May/18,277.781625,116
32A,23/May/18,960.128,100
32B,23/May/18,975.168,116
23A,11/Jun/18,2489.817,168
4A,11/Jun/18,1459.396,126
4D,11/Jun/18,1318,126
66A,12/Jun/18,1188.942,110
66C,12/Jun/18,4687.551,192
4A,9/Jul/18,1413.764,126
66A,9/Jul/18,1142.424,110
66B,9/Jul/18,3365.571,168
66C,9/Jul/18,4374,192
61B,10/Jul/18,2505.184,172
61C,10/Jul/18,1196.25,110
62B,10/Jul/18,1561.326,158
62C,10/Jul/18,1276.288,130
4C,11/Jul/18,3522.948,246
4D,11/Jul/18,678.042,126
56A,11/Jul/18,1762.5,142
56B,11/Jul/18,20410.368,586
23A,12/Jul/18,2379.456,168
32A,12/Jul/18,960.128,100
32B,12/Jul/18,1241.064,116
32C,12/Jul/18,2022,144
14A,13/Jul/18,4920,182
14B,13/Jul/18,2976.476,190
68A,13/Jul/18,187.584768,116
62E,16/Jul/18,5815.908,250
4A,8/Aug/18,1107.968,126
4D,8/Aug/18,1107.968,126
23A,9/Aug/18,1794.351,168
66A,9/Aug/18,1117.428,110
66C,9/Aug/18,3804.375,192
4A,24/Sep/18,809.248,126
66A,24/Sep/18,1063.872,110
66B,24/Sep/18,2766.875,168
66C,24/Sep/18,3559.641,192
61B,25/Sep/18,2324,172
61C,25/Sep/18,1196.25,110
62B,25/Sep/18,828.257625,158
62C,25/Sep/18,759.020416,130
62E,25/Sep/18,4827.864,250
4C,26/Sep/18,2605.056,246
4D,26/Sep/18,809.248,126
56A,26/Sep/18,1658.664,142
56B,26/Sep/18,17979.612,586
23A,27/Sep/18,1794.351,168
32A,27/Sep/18,657.375,100
32B,27/Sep/18,822.861,116
32C,27/Sep/18,1768.119,144
14A,28/Sep/18,4230.144,182
14B,28/Sep/18,2446.596,190
